Timestamp (UTC)	Timestamp (ms)	Altitude	CO	NO2	Environmental temperature	Atmospheric pressure	Humidity	Luminosity	Battery
2016-11-09 19:30:45.189	1478719845189	6.0	0.0	-1.0	31.0	0.99	44.0	100.0	93.0
2016-11-09 19:30:55.291	1478719855291	6.0	10.0	-1.0	31.0	0.99	45.0	100.0	93.0
2016-11-09 19:31:05.421	1478719865421	6.0	10.0	-1.0	31.0	0.99	44.0	101.0	92.0
2016-11-09 19:31:15.449	1478719875449	4.0	10.0	-1.0	31.0	0.99	43.0	101.0	93.0
2016-11-09 19:31:25.454	1478719885454	4.0	0.0	-1.0	31.0	0.99	39.0	101.0	92.0
2016-11-09 19:31:35.468	1478719895468	3.0	25.0	-1.0	31.0	0.99	37.0	101.0	93.0
2016-11-09 19:31:45.475	1478719905475	5.0	0.0	-1.0	32.0	0.99	36.0	101.0	92.0
2016-11-09 19:31:56.178	1478719916178	3.0	0.0	-1.0	32.0	0.99	36.0	101.0	92.0
2016-11-09 19:32:06.285	1478719926285	4.0	0.0	-1.0	32.0	0.99	35.0	101.0	93.0
2016-11-09 19:32:16.421	1478719936421	4.0	0.0	-1.0	32.0	0.99	35.0	101.0	92.0
2016-11-09 19:32:26.528	1478719946528	4.0	0.0	-1.0	32.0	0.99	35.0	101.0	92.0
2016-11-09 19:32:36.571	1478719956571	3.0	0.0	-1.0	32.0	0.99	35.0	101.0	92.0
2016-11-09 19:32:46.553	1478719966553	3.0	0.0	-1.0	32.0	0.99	34.0	101.0	92.0
2016-11-09 19:32:56.586	1478719976586	3.0	0.0	-1.0	32.0	0.99	32.0	101.0	93.0
2016-11-09 19:33:06.58	1478719986580	3.0	0.0	-1.0	32.0	0.99	32.0	101.0	92.0
2016-11-09 19:33:17.273	1478719997273	0.0	10.0	-1.0	32.0	0.99	32.0	101.0	92.0
2016-11-09 19:33:27.408	1478720007408	0.0	0.0	-1.0	32.0	0.99	32.0	101.0	92.0
2016-11-09 19:33:37.544	1478720017544	-3.0	0.0	-1.0	32.0	0.99	32.0	101.0	92.0
2016-11-09 19:33:47.635	1478720027635	-4.0	10.0	-1.0	32.0	0.99	31.0	101.0	93.0
2016-11-09 19:33:57.685	1478720037685	-5.0	0.0	-1.0	32.0	0.99	31.0	100.0	93.0
2016-11-09 19:34:07.67	1478720047670	-7.0	0.0	-1.0	32.0	0.99	30.0	101.0	92.0
2016-11-09 19:34:17.682	1478720057682	-8.0	0.0	-1.0	32.0	0.99	30.0	101.0	92.0
2016-11-09 19:34:27.695	1478720067695	-8.0	0.0	-1.0	32.0	0.99	30.0	101.0	92.0
2016-11-09 19:34:38.377	1478720078377	-7.0	0.0	-1.0	32.0	0.99	31.0	101.0	92.0
2016-11-09 19:34:48.512	1478720088512	-5.0	0.0	-1.0	32.0	0.99	32.0	100.0	92.0
2016-11-09 19:34:58.667	1478720098667	-4.0	0.0	-1.0	32.0	0.99	32.0	99.0	92.0
2016-11-09 19:35:08.745	1478720108745	-4.0	0.0	-1.0	32.0	0.99	32.0	100.0	92.0
2016-11-09 19:35:18.755	1478720118755	-2.0	0.0	-1.0	31.0	0.99	32.0	100.0	92.0
2016-11-09 19:35:28.764	1478720128764	1.0	0.0	-1.0	31.0	0.99	32.0	101.0	91.0
2016-11-09 19:35:38.784	1478720138784	3.0	0.0	-1.0	31.0	0.99	32.0	101.0	92.0
2016-11-09 19:35:48.791	1478720148791	4.0	0.0	-1.0	31.0	0.99	33.0	101.0	92.0
2016-11-09 19:35:59.507	1478720159507	5.0	0.0	-1.0	31.0	0.99	33.0	101.0	92.0
2016-11-09 19:36:09.637	1478720169637	6.0	0.0	-1.0	31.0	0.99	33.0	101.0	92.0
2016-11-09 19:36:19.776	1478720179776	6.0	0.0	-1.0	31.0	0.99	34.0	101.0	92.0
2016-11-09 19:36:29.857	1478720189857	7.0	0.0	-1.0	31.0	0.99	34.0	100.0	93.0
2016-11-09 19:36:40.028	1478720200028	6.0	0.0	-1.0	31.0	0.99	33.0	99.0	91.0
2016-11-09 19:36:49.883	1478720209883	7.0	0.0	-1.0	31.0	0.99	33.0	99.0	92.0
2016-11-09 19:36:59.897	1478720219897	7.0	0.0	-1.0	31.0	0.99	34.0	99.0	92.0
2016-11-09 19:37:10.479	1478720230479	7.0	0.0	-1.0	31.0	0.99	35.0	99.0	92.0
